PJコード,PJ名,種別,区分コード,版,ファイル名,更新日,更新者
PJ00000008,PJ名PJ00000008,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000008,2009/6/30,-
PJ00000009,PJ名PJ00000009,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000009,2010/5/25,-
PJ00000009,PJ名PJ00000009,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000009,2009/9/14,-
PJ00000009,PJ名PJ00000009,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000009,2009/9/11,-
PJ00000010,PJ名PJ00000010,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000010,2010/5/25,-
PJ00000010,PJ名PJ00000010,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000010,2010/3/11,-
PJ00000010,PJ名PJ00000010,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000010,2009/7/17,-
PJ00000011,PJ名PJ00000011,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000011,2010/5/25,-
PJ00000011,PJ名PJ00000011,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000011,2010/3/4,-
PJ00000011,PJ名PJ00000011,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000011,2009/9/8,-
PJ00000012,PJ名PJ00000012,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000012,2010/5/25,-
PJ00000012,PJ名PJ00000012,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000012,2009/9/24,-
PJ00000012,PJ名PJ00000012,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000012,2009/7/31,-
PJ00000013,PJ名PJ00000013,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000013,2010/5/25,-
PJ00000013,PJ名PJ00000013,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000013,2009/7/31,-
PJ00000013,PJ名PJ00000013,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000013,2009/8/26,-
PJ00000014,PJ名PJ00000014,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000014,2010/5/25,-
PJ00000014,PJ名PJ00000014,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000014,2009/8/14,-
PJ00000014,PJ名PJ00000014,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000014,2009/8/19,-
PJ00000015,PJ名PJ00000015,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000015,2010/5/25,-
PJ00000015,PJ名PJ00000015,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000015,2009/9/11,-
PJ00000015,PJ名PJ00000015,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000015,2010/1/5,-
PJ00000016,PJ名PJ00000016,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000016,2010/5/25,-
PJ00000016,PJ名PJ00000016,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000016,2009/9/30,-
PJ00000016,PJ名PJ00000016,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000016,2009/11/2,-
PJ00000017,PJ名PJ00000017,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000017,2010/5/25,-
PJ00000017,PJ名PJ00000017,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000017,2010/2/16,-
PJ00000017,PJ名PJ00000017,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000017,2009/8/28,-
PJ00000018,PJ名PJ00000018,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000018,2010/5/25,-
PJ00000018,PJ名PJ00000018,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000018,2009/8/27,-
PJ00000018,PJ名PJ00000018,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000018,2009/12/21,-
PJ00000019,PJ名PJ00000019,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000019,2010/5/25,-
PJ00000019,PJ名PJ00000019,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000019,2009/9/30,-
PJ00000019,PJ名PJ00000019,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000019,2009/9/16,-
PJ00000020,PJ名PJ00000020,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000020,2010/5/25,-
PJ00000020,PJ名PJ00000020,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000020,2009/9/29,-
PJ00000020,PJ名PJ00000020,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000020,2009/9/8,-
PJ00000021,PJ名PJ00000021,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000021,2010/5/25,-
PJ00000021,PJ名PJ00000021,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000021,2009/11/2,-
PJ00000021,PJ名PJ00000021,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000021,2010/1/25,-
PJ00000022,PJ名PJ00000022,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000022,2010/5/25,-
PJ00000022,PJ名PJ00000022,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000022,2009/11/18,-
PJ00000022,PJ名PJ00000022,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000022,2009/9/24,-
PJ00000023,PJ名PJ00000023,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000023,2010/5/25,-
PJ00000023,PJ名PJ00000023,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000023,2009/10/8,-
PJ00000023,PJ名PJ00000023,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000023,2010/4/27,-
PJ00000024,PJ名PJ00000024,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000024,2010/5/25,-
PJ00000024,PJ名PJ00000024,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000024,2009/9/28,-
PJ00000024,PJ名PJ00000024,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000024,2009/11/2,-
PJ00000025,PJ名PJ00000025,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000025,2010/5/25,-
PJ00000025,PJ名PJ00000025,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000025,2009/9/29,-
PJ00000025,PJ名PJ00000025,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000025,2009/12/2,-
PJ00000026,PJ名PJ00000026,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000026,2010/5/25,-
PJ00000026,PJ名PJ00000026,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000026,2009/10/6,-
PJ00000026,PJ名PJ00000026,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000026,2009/10/13,-
PJ00000027,PJ名PJ00000027,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000027,2010/5/25,-
PJ00000027,PJ名PJ00000027,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000027,2009/10/6,-
PJ00000027,PJ名PJ00000027,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000027,2009/10/8,-
PJ00000028,PJ名PJ00000028,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000028,2010/5/25,-
PJ00000028,PJ名PJ00000028,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000028,2009/10/22,-
PJ00000028,PJ名PJ00000028,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000028,2009/10/21,-
PJ00000029,PJ名PJ00000029,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000029,2010/5/25,-
PJ00000029,PJ名PJ00000029,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000029,2009/10/9,-
PJ00000029,PJ名PJ00000029,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000029,2009/10/9,-
PJ00000030,PJ名PJ00000030,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000030,2010/5/25,-
PJ00000030,PJ名PJ00000030,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000030,2010/5/6,-
PJ00000030,PJ名PJ00000030,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000030,2009/10/25,-
PJ00000031,PJ名PJ00000031,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000031,2010/5/25,-
PJ00000031,PJ名PJ00000031,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000031,2009/12/2,-
PJ00000031,PJ名PJ00000031,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000031,2009/10/20,-
PJ00000032,PJ名PJ00000032,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000032,2010/5/25,-
PJ00000032,PJ名PJ00000032,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000032,2009/10/20,-
PJ00000032,PJ名PJ00000032,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000032,2010/1/22,-
PJ00000033,PJ名PJ00000033,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000033,2010/5/25,-
PJ00000033,PJ名PJ00000033,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000033,2009/10/5,-
PJ00000033,PJ名PJ00000033,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000033,2009/11/16,-
PJ00000034,PJ名PJ00000034,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000034,2010/5/25,-
PJ00000034,PJ名PJ00000034,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000034,2009/11/12,-
PJ00000034,PJ名PJ00000034,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000034,2009/11/19,-
PJ00000035,PJ名PJ00000035,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000035,2010/5/25,-
PJ00000035,PJ名PJ00000035,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000035,2009/12/15,-
PJ00000035,PJ名PJ00000035,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000035,2009/10/22,-
PJ00000036,PJ名PJ00000036,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000036,2010/5/25,-
PJ00000036,PJ名PJ00000036,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000036,2009/10/30,-
PJ00000036,PJ名PJ00000036,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000036,2010/11/30,-
PJ00000037,PJ名PJ00000037,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000037,2010/5/25,-
PJ00000037,PJ名PJ00000037,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000037,2009/10/23,-
PJ00000037,PJ名PJ00000037,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000037,2009/10/25,-
PJ00000038,PJ名PJ00000038,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000038,2010/5/25,-
PJ00000038,PJ名PJ00000038,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000038,2009/10/25,-
PJ00000038,PJ名PJ00000038,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000038,2009/10/25,-
PJ00000039,PJ名PJ00000039,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000039,2010/5/25,-
PJ00000039,PJ名PJ00000039,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000039,2009/10/30,-
PJ00000039,PJ名PJ00000039,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000039,2009/12/2,-
PJ00000040,PJ名PJ00000040,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000040,2010/5/25,-
PJ00000040,PJ名PJ00000040,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000040,2010/2/12,-
PJ00000040,PJ名PJ00000040,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000040,2009/11/26,-
PJ00000041,PJ名PJ00000041,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000041,2010/5/25,-
PJ00000041,PJ名PJ00000041,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000041,2010/1/15,-
PJ00000041,PJ名PJ00000041,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000041,2010/1/27,-
PJ00000042,PJ名PJ00000042,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000042,2010/5/25,-
PJ00000042,PJ名PJ00000042,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000042,2010/2/21,-
PJ00000042,PJ名PJ00000042,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000042,2009/12/4,-
PJ00000043,PJ名PJ00000043,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000043,2010/5/25,-
PJ00000043,PJ名PJ00000043,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000043,2009/12/22,-
PJ00000043,PJ名PJ00000043,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000043,2009/12/15,-
PJ00000044,PJ名PJ00000044,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000044,2010/5/25,-
PJ00000044,PJ名PJ00000044,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000044,2009/12/18,-
PJ00000044,PJ名PJ00000044,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000044,2009/12/9,-
PJ00000045,PJ名PJ00000045,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000045,2010/5/25,-
PJ00000045,PJ名PJ00000045,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000045,2010/2/19,-
PJ00000045,PJ名PJ00000045,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000045,2009/11/20,-
PJ00000046,PJ名PJ00000046,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000046,2010/5/25,-
PJ00000046,PJ名PJ00000046,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000046,2010/1/5,-
PJ00000046,PJ名PJ00000046,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000046,2009/12/22,-
PJ00000047,PJ名PJ00000047,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000047,2010/5/25,-
PJ00000047,PJ名PJ00000047,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000047,2009/12/17,-
PJ00000047,PJ名PJ00000047,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000047,2010/1/8,-
PJ00000048,PJ名PJ00000048,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000048,2010/5/25,-
PJ00000048,PJ名PJ00000048,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000048,2010/1/17,-
PJ00000048,PJ名PJ00000048,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000048,2009/12/9,-
PJ00000049,PJ名PJ00000049,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000049,2010/5/25,-
PJ00000049,PJ名PJ00000049,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000049,2010/1/6,-
PJ00000049,PJ名PJ00000049,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000049,2010/3/23,-
PJ00000050,PJ名PJ00000050,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000050,2010/5/25,-
PJ00000050,PJ名PJ00000050,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000050,2010/1/5,-
PJ00000050,PJ名PJ00000050,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000050,2009/12/16,-
PJ00000051,PJ名PJ00000051,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000051,2010/5/25,-
PJ00000051,PJ名PJ00000051,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000051,2009/12/21,-
PJ00000051,PJ名PJ00000051,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000051,2010/1/21,-
PJ00000052,PJ名PJ00000052,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000052,2010/5/25,-
PJ00000052,PJ名PJ00000052,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000052,2010/3/1,-
PJ00000052,PJ名PJ00000052,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000052,2009/12/24,-
PJ00000053,PJ名PJ00000053,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000053,2010/5/25,-
PJ00000053,PJ名PJ00000053,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000053,2009/12/24,-
PJ00000053,PJ名PJ00000053,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000053,2009/12/24,-
PJ00000054,PJ名PJ00000054,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000054,2010/5/25,-
PJ00000054,PJ名PJ00000054,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000054,2010/3/23,-
PJ00000054,PJ名PJ00000054,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000054,2010/1/7,-
PJ00000055,PJ名PJ00000055,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000055,2010/5/25,-
PJ00000055,PJ名PJ00000055,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000055,2010/2/17,-
PJ00000055,PJ名PJ00000055,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000055,2010/1/28,-
PJ00000056,PJ名PJ00000056,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000056,2010/5/25,-
PJ00000056,PJ名PJ00000056,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000056,2010/1/22,-
PJ00000056,PJ名PJ00000056,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000056,2010/1/13,-
PJ00000057,PJ名PJ00000057,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000057,2010/5/25,-
PJ00000057,PJ名PJ00000057,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000057,2010/1/15,-
PJ00000057,PJ名PJ00000057,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000057,2010/2/26,-
PJ00000058,PJ名PJ00000058,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000058,2010/5/25,-
PJ00000058,PJ名PJ00000058,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000058,2010/1/18,-
PJ00000058,PJ名PJ00000058,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000058,2010/1/25,-
PJ00000059,PJ名PJ00000059,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000059,2010/5/25,-
PJ00000059,PJ名PJ00000059,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000059,2010/2/12,-
PJ00000059,PJ名PJ00000059,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000059,2010/3/16,-
PJ00000060,PJ名PJ00000060,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000060,2010/5/25,-
PJ00000060,PJ名PJ00000060,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000060,2010/2/25,-
PJ00000060,PJ名PJ00000060,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000060,2010/2/1,-
PJ00000061,PJ名PJ00000061,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000061,2010/5/25,-
PJ00000061,PJ名PJ00000061,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000061,2010/2/15,-
PJ00000061,PJ名PJ00000061,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000061,2010/2/26,-
PJ00000062,PJ名PJ00000062,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000062,2010/5/25,-
PJ00000062,PJ名PJ00000062,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000062,2010/1/26,-
PJ00000062,PJ名PJ00000062,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000062,2010/3/3,-
PJ00000063,PJ名PJ00000063,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000063,2010/5/25,-
PJ00000063,PJ名PJ00000063,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000063,2010/3/3,-
PJ00000063,PJ名PJ00000063,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000063,2010/3/23,-
PJ00000064,PJ名PJ00000064,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000064,2010/5/25,-
PJ00000064,PJ名PJ00000064,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000064,2010/2/25,-
PJ00000064,PJ名PJ00000064,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000064,2010/3/4,-
PJ00000065,PJ名PJ00000065,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000065,2010/5/25,-
PJ00000065,PJ名PJ00000065,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000065,2010/3/5,-
PJ00000065,PJ名PJ00000065,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000065,2010/3/31,-
PJ00000066,PJ名PJ00000066,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000066,2010/5/25,-
PJ00000066,PJ名PJ00000066,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000066,2010/3/1,-
PJ00000066,PJ名PJ00000066,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000066,2010/3/9,-
PJ00000067,PJ名PJ00000067,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000067,2010/5/25,-
PJ00000067,PJ名PJ00000067,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000067,2010/3/24,-
PJ00000067,PJ名PJ00000067,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000067,2010/4/19,-
PJ00000068,PJ名PJ00000068,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000068,2010/5/25,-
PJ00000068,PJ名PJ00000068,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000068,2010/12/10,-
PJ00000068,PJ名PJ00000068,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000068,2010/5/19,-
PJ00000069,PJ名PJ00000069,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000069,2010/5/25,-
PJ00000069,PJ名PJ00000069,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000069,2010/3/16,-
PJ00000069,PJ名PJ00000069,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000069,2010/7/20,-
PJ00000070,PJ名PJ00000070,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000070,2010/5/25,-
PJ00000070,PJ名PJ00000070,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000070,2010/3/25,-
PJ00000070,PJ名PJ00000070,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000070,2010/6/10,-
PJ00000071,PJ名PJ00000071,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000071,2010/5/25,-
PJ00000071,PJ名PJ00000071,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000071,2010/3/29,-
PJ00000071,PJ名PJ00000071,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000071,2010/3/29,-
PJ00000072,PJ名PJ00000072,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000072,2010/5/25,-
PJ00000072,PJ名PJ00000072,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000072,2010/4/27,-
PJ00000072,PJ名PJ00000072,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000072,2010/5/6,-
PJ00000073,PJ名PJ00000073,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000073,2010/5/25,-
PJ00000073,PJ名PJ00000073,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000073,2010/5/7,-
PJ00000073,PJ名PJ00000073,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000073,2010/5/7,-
PJ00000074,PJ名PJ00000074,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000074,2010/5/25,-
PJ00000074,PJ名PJ00000074,PJ-WBS(PJレビュー情報),PR0001,2,WBS2_PJ00000074,2010/4/6,-
PJ00000074,PJ名PJ00000074,PJ-WBS(PJレビュー情報),PR0002,3,WBS3_PJ00000074,2010/4/22,-
PJ00000075,PJ名PJ00000075,PJ-WBS(受注審査情報),JS0001,1,WBS1_PJ00000075,2010/5/25,-
